Abelfenide,Acetemran,Adenomadin,Adrevenac,Amrodine,Choriotroban,Cormide,Decloxone,Dexaset,Endoxolol,Olanzasys,Pansolid,Protestryl
12,5,7,9,13,4,6,11,1,2,10,3,8
4,2,5,8,10,7,11,12,3,1,13,6,9
6,3,7,10,11,12,5,13,2,1,9,4,8
5,3,4,6,11,7,8,9,2,1,10,12,13
6,2,8,10,13,7,5,12,3,1,11,4,9
8,2,9,10,13,5,6,7,4,1,11,3,12
12,6,5,9,13,4,7,8,2,1,10,3,11
12,2,5,9,13,6,7,10,3,1,11,4,8
12,5,4,8,13,7,9,10,2,1,11,3,6
12,6,4,10,13,5,7,11,3,1,9,2,8
11,5,4,10,13,6,9,12,2,1,8,3,7
5,2,7,10,13,11,6,12,4,1,9,3,8
7,4,5,10,11,12,6,13,2,1,9,3,8
5,4,7,8,9,11,6,12,1,2,10,3,13
8,4,5,7,9,12,6,13,2,1,11,3,10
6,1,5,12,13,8,7,9,3,2,11,4,10
12,6,5,9,13,4,7,10,3,1,11,2,8
12,6,4,11,13,5,7,8,2,1,10,3,9
10,4,6,7,11,8,5,9,2,1,12,3,13
9,2,6,12,13,7,5,8,3,1,11,4,10
11,4,5,10,13,6,7,12,2,1,9,3,8
12,4,5,11,13,7,6,8,2,1,10,3,9
6,4,10,9,13,7,5,8,2,1,11,3,12
4,2,9,10,13,7,6,8,3,1,11,5,12
12,4,5,11,13,6,7,10,1,2,9,3,8
12,4,7,8,13,6,5,11,1,2,9,3,10
12,2,5,6,13,7,8,9,4,1,10,3,11
7,4,9,12,13,5,3,8,1,2,10,6,11
12,4,6,10,13,8,5,11,2,1,9,3,7
5,4,7,9,13,8,6,12,2,1,11,3,10
12,2,5,10,13,6,9,11,3,1,8,4,7
7,3,5,9,11,12,10,13,1,2,8,4,6
7,5,3,11,13,6,8,12,1,2,10,4,9
11,4,5,9,13,10,6,12,2,1,8,3,7
6,4,5,12,13,10,7,8,2,1,11,3,9
5,4,7,10,11,12,6,13,1,2,9,3,8
12,4,5,11,13,9,7,10,2,1,8,3,6
6,2,5,10,12,11,8,13,3,1,9,4,7
7,2,6,9,11,12,5,13,3,1,10,4,8
10,4,5,8,13,6,7,11,3,1,9,2,12
12,4,7,11,13,5,6,9,3,1,10,2,8
6,2,5,9,11,12,8,13,3,1,10,4,7
12,5,4,11,13,9,7,10,1,2,8,3,6
8,3,5,11,13,9,7,12,4,1,10,2,6
3,2,6,10,13,9,11,12,4,1,8,5,7
7,2,5,8,11,12,9,13,3,1,10,4,6
5,2,6,12,13,8,9,11,4,1,10,3,7
7,4,5,9,12,11,8,13,3,1,10,2,6
5,2,7,11,10,12,6,13,3,1,9,4,8
